bug_id,filepath
276548,src/vs/workbench/contrib/chat/common/tools/runSubagentTool.ts
276407,extensions/terminal-suggest/src/fig/figInterface.ts
276407,extensions/terminal-suggest/src/test/fig.test.ts
276407,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalCompletionModel.ts
276407,src/vs/workbench/contrib/terminalContrib/suggest/test/browser/terminalCompletionModel.test.ts
276406,extensions/terminal-suggest/src/fig/figInterface.ts
276406,extensions/terminal-suggest/src/test/fig.test.ts
276406,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalCompletionModel.ts
276406,src/vs/workbench/contrib/terminalContrib/suggest/test/browser/terminalCompletionModel.test.ts
276253,src/vs/platform/terminal/node/terminalProfiles.ts
276246,src/vs/workbench/contrib/chat/browser/chatSetup.ts
276167,src/vs/workbench/contrib/chat/browser/languageModelToolsService.ts
276119,src/vs/workbench/contrib/chat/browser/agentSessions/media/agentsessionsviewer.css
276035,src/vs/workbench/contrib/inlineChat/browser/inlineChatController.ts
276029,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolConfirmationSubPart.ts
275957,src/vs/workbench/api/browser/mainThreadChatAgents2.ts
275957,src/vs/workbench/contrib/chat/common/chatService.ts
275957,src/vs/workbench/contrib/chat/common/chatServiceImpl.ts
275957,src/vs/workbench/contrib/chat/test/common/mockChatService.ts
275889,src/vs/workbench/contrib/terminalContrib/chatAgentTools/common/terminalChatAgentToolsConfiguration.ts
275859,src/vs/workbench/contrib/chat/browser/chatEditing/chatEditingModifiedFileEntry.ts
275859,src/vs/workbench/contrib/inlineChat/browser/inlineChatController.ts
275828,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTerminalToolConfirmationSubPart.ts
275828,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/commandLineAnalyzer/commandLineAnalyzer.ts
275828,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/commandLineAnalyzer/commandLineAutoApproveAnalyzer.ts
275828,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/runInTerminalTool.ts
275828,src/vs/workbench/contrib/terminalContrib/chatAgentTools/test/electron-browser/runInTerminalTool.test.ts
275810,src/vs/workbench/contrib/welcomeGettingStarted/browser/gettingStarted.ts
275789,src/vs/workbench/contrib/terminal/browser/terminal.ts
275789,src/vs/workbench/contrib/terminal/browser/terminalService.ts
275789,src/vs/workbench/contrib/terminal/browser/terminalTabbedView.ts
275789,src/vs/workbench/contrib/terminal/browser/terminalTabsChatEntry.ts
275789,src/vs/workbench/contrib/terminalContrib/chat/browser/terminalChatActions.ts
275789,src/vs/workbench/contrib/terminalContrib/chat/browser/terminalChatService.ts
276458,src/vs/workbench/contrib/comments/browser/commentsController.ts
275690,src/vs/workbench/contrib/chat/browser/chatContentParts/media/chatTerminalToolProgressPart.css
275690,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTerminalToolProgressPart.ts
275675,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolConfirmationSubPart.ts
275675,src/vs/workbench/contrib/chat/common/languageModelToolsService.ts
275674,src/vs/workbench/contrib/chat/browser/chatStatus.ts
275673,extensions/prompt-basics/package.json
275673,src/vs/workbench/contrib/chat/common/promptSyntax/config/promptFileLocations.ts
275673,src/vs/workbench/contrib/chat/test/common/promptSyntax/promptFileLocations.test.ts
275673,src/vs/workbench/contrib/chat/test/common/promptSyntax/service/promptsService.test.ts
275667,src/vs/workbench/api/browser/mainThreadTerminalShellIntegration.ts
275667,src/vs/workbench/api/common/extHost.protocol.ts
275667,src/vs/workbench/api/common/extHostTerminalShellIntegration.ts
275667,src/vs/workbench/api/test/common/extHostTerminalShellIntegration.test.ts
275667,src/vscode-dts/vscode.d.ts
275651,src/vs/workbench/contrib/chat/browser/chatEditing/chatEditingSession.ts
275605,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/executeStrategy/executeStrategy.ts
275605,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/monitoring/outputMonitor.ts
275592,src/vs/workbench/contrib/terminal/browser/media/terminal.css
275592,src/vs/workbench/contrib/terminal/browser/terminalTabbedView.ts
275557,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSuggestAddon.ts
275557,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSymbolIcons.ts
275557,src/vscode-dts/vscode.d.ts
275556,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSuggestAddon.ts
275556,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSymbolIcons.ts
275556,src/vscode-dts/vscode.d.ts
275555,src/vs/workbench/services/suggest/browser/simpleSuggestWidgetRenderer.ts
275549,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSuggestAddon.ts
275549,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSymbolIcons.ts
275549,src/vscode-dts/vscode.d.ts
275548,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSuggestAddon.ts
275548,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSymbolIcons.ts
275548,src/vscode-dts/vscode.d.ts
275546,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSuggestAddon.ts
275511,src/vs/workbench/contrib/chat/browser/chatInputPart.ts
275511,src/vs/workbench/contrib/chat/browser/modelPicker/modelPickerActionItem.ts
275511,src/vs/workbench/contrib/chat/common/languageModels.ts
275511,src/vs/workbench/contrib/chat/test/browser/chatModelsViewModel.test.ts
275478,src/vs/workbench/contrib/mcp/browser/mcpCommands.ts
275478,src/vs/workbench/contrib/mcp/browser/mcpServersView.ts
275388,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTerminalToolProgressPart.ts
275385,src/vs/workbench/api/common/extHost.protocol.ts
275385,src/vs/workbench/api/common/extHostTypes.ts
275351,src/vs/workbench/contrib/chat/browser/chatAttachmentWidgets.ts
275340,src/vs/workbench/contrib/preferences/browser/settingsEditor2.ts
275337,src/vs/workbench/contrib/preferences/browser/settingsSearchMenu.ts
275335,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/commandLineAnalyzer/commandLineFileWriteAnalyzer.ts
275330,src/vs/editor/contrib/hover/browser/hover.css
275330,src/vs/editor/contrib/hover/browser/hoverCopyButton.ts
275326,src/vs/editor/contrib/hover/browser/hover.css
275326,src/vs/editor/contrib/hover/browser/hoverCopyButton.ts
275323,src/vs/workbench/api/common/extHostChatSessions.ts
275321,src/vs/editor/contrib/quickAccess/browser/gotoLineQuickAccess.ts
275321,src/vs/workbench/browser/workbench.contribution.ts
275321,src/vs/workbench/contrib/codeEditor/browser/quickaccess/gotoLineQuickAccess.ts
275320,src/vs/workbench/contrib/chat/browser/agentSessions/agentSessionsViewer.ts
275279,src/vs/workbench/contrib/terminal/browser/terminalTabbedView.ts
275264,src/vs/platform/terminal/common/capabilities/commandDetectionCapability.ts
275264,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTerminalToolProgressPart.ts
275258,src/vs/workbench/contrib/chat/common/constants.ts
275245,src/vs/workbench/contrib/chat/browser/agentSessions/agentSessionViewModel.ts
275245,src/vs/workbench/contrib/chat/test/browser/agentSessionViewModel.test.ts
275245,src/vs/workbench/contrib/chat/test/browser/chatEditingService.test.ts
275245,src/vs/workbench/contrib/chat/test/browser/languageModelToolsService.test.ts
275245,src/vs/workbench/contrib/terminalContrib/chatAgentTools/test/browser/outputMonitor.test.ts
275240,src/vs/workbench/contrib/chat/browser/agentSessions/agentSessionsView.ts
275233,src/vs/workbench/contrib/chat/browser/chatAccessibilityProvider.ts
275233,src/vs/workbench/contrib/chat/browser/chatResponseAccessibleView.ts
275233,src/vs/workbench/contrib/chat/common/languageModelToolsService.ts
275227,src/vs/platform/quickinput/browser/tree/quickInputTreeController.ts
275214,src/vs/workbench/contrib/inlineChat/browser/inlineChatSessionService.ts
275214,src/vs/workbench/contrib/inlineChat/browser/inlineChatSessionServiceImpl.ts
275211,src/vs/workbench/contrib/inlineChat/browser/inlineChatSessionServiceImpl.ts
275199,src/vs/workbench/contrib/chat/common/promptSyntax/languageProviders/promptValidator.ts
275199,src/vs/workbench/contrib/chat/test/browser/promptSytntax/promptValidator.test.ts
275173,src/vs/workbench/contrib/inlineChat/browser/media/inlineChat.css
275160,src/vs/workbench/contrib/chat/browser/chatManagement/chatModelsWidget.ts
275141,src/vs/workbench/contrib/terminal/browser/terminalService.ts
275135,src/vs/workbench/contrib/scm/browser/scmViewPane.ts
275115,src/vs/base/browser/ui/hover/hoverWidget.css
275110,src/vs/workbench/contrib/notebook/common/notebookEditorInput.ts
275099,src/vs/workbench/contrib/chat/browser/chatManagement/chatManagement.contribution.ts
275099,src/vs/workbench/contrib/chat/browser/chatManagement/chatManagementEditor.ts
275099,src/vs/workbench/contrib/chat/browser/chatManagement/chatModelsWidget.ts
275099,src/vs/workbench/contrib/chat/common/constants.ts
275092,src/vs/workbench/contrib/chat/browser/chatManagement/chatManagementEditorInput.ts
275089,src/vs/workbench/contrib/scm/browser/scmHistory.ts
